ID,Label,Gender
18299,Ime Etuk,2
18300,Eddie J. Fernandez,2
18303,Howard Fong,0
18304,Billy Gallo,2
18287,Ken Garito,2
130732,Octavio Gómez Berríos,0
1331790,James Haggis,0
61830,Sylva Kelegian,1
154932,Jayden Lund,2
10489,Jack McGee,2
1110185,Amanda Moresco,1
1331791,Martin Norseman,0
1331792,Joe Ordaz,2
191198,Greg Joung Paik,0
18289,Yomi Perry,0
58930,Alexis Rhee,0
1331793,Molly Schaffer,0
1331794,Paul E. Short,2
2677,Bahar Soomekh,1
1331795,Allan Steele,2
1331796,Kate Super,0
18305,Glenn Taranto,2
17857,Shaun Toub,2
1263449,Curt Clendenin,2
1331797,Alastair Douglas,0
1331798,Nicholas George Stark,2
3042,Bruce Kirby,0
18297,Sean Cory Cooper,2
6949,John Malkovich,2
83586,Ken Jeong,2
3910,Frances McDormand,1
19536,Josh Duhamel,2
8169,Tyrese Gibson,2
1331,Hugo Weaving,2
1749,Leonard Nimoy,2
1241,John Turturro,2
236048,Rosie Huntington-Whiteley,1
18352,Patrick Dempsey,2
19540,Peter Cullen,2
12797,Glenn Morshower,2
81178,Charlie Adler,2
2962,Robert Foxworth,2
1736,James Remar,2
15831,Frank Welker,2
78798,Tom Kenny,2
117187,Reno Wilson,2
60602,Ron Bottitta,2
206334,Scott Krinsky,2
24305,Julie White,1
14721,Kevin Dunn,0
87957,Keith Szarabajka,2
14102,George Coe,2
1318952,Derek Miller,0
1517868,Katherine Sigismund,1
1585120,David Hill,2
95875,Andrew Daly,2
58925,Lester Speight,2
106843,Buzz Aldrin,2
95777,Bill O'Reilly,0
19541,Mark Ryan,2
11886,Francesco Quinn,2
1465852,Stephen Monroe Taylor,0
1901413,William H Worden,0
6193,Leonardo DiCaprio,2
19866,Guillaume Canet,2
3063,Tilda Swinton,1
19163,Virginie Ledoyen,1
19867,Staffan Kihlbom,0
19868,Paterson Joseph,2
19869,Peter Youngblood Hills,2
18023,Robert Carlyle,2
19870,Jerry Swindall,2
19871,Lars Arentz-Hansen,2
2063,Jukka Hiltunen,0
19873,Magnus Lindgren,0
19874,Daniel York,2
